,bike,walk,motorcycle,car,truck,bus,one.party,,
bus,5.17557E-06,0,1.78024E-05,2.67036E-05,0.000186925,0,0,local serious,
bike,0,0,0,1.03511E-05,7.76335E-06,0,4.13782E-06,arterial serious,
walk,0,1.09647E-06,0,7.18537E-05,2.18685E-05,0,0,arterial serious,
motorcycle,0,0,0.000142419,0.000436158,0.000124617,0,0.001976063,arterial serious,
car,1.55267E-05,0.000109343,0.000649786,0.003498165,0.001157154,0,0.005020268,arterial serious,
truck,1.03511E-05,1.87445E-05,0.000329344,0.0015043,0.000667589,1.78024E-05,0.001441992,arterial serious,
bus,0,0,0,0,1.78024E-05,0,0,arterial serious,
bike,0,0,0,0,0,0,0,highway serious,
walk,0,0,0,6.56056E-05,9.37223E-06,0,0,highway serious,
motorcycle,5.17557E-06,6.24815E-06,8.90118E-06,0.000480664,0.000124617,0,0.001495399,highway serious,
car,1.29389E-05,5.31093E-05,0.000783304,0.003747398,0.000667589,0,0.006213026,highway serious,
truck,2.58778E-06,1.56204E-05,0.000169122,0.001646719,0.000347146,0,0.001406387,highway serious,
bus,0,0,0,1.78024E-05,0,0,3.56047E-05,highway serious,
 ,,,,,,,,,
bike,0,0,0,0.00047762,6.09728E-05,0,3.28149E-05,local fatal,zcta7
walk,0,8.02418E-06,6.35637E-06,0.00020976,0.000158909,0,0,local fatal,
motorcycle,2.03243E-05,0,0.00012588,0.001007044,0.000427994,5.03522E-05,0.00322254,local fatal,
car,0.000447134,0.001239493,0.001460213,0.004808633,0.001460213,0,0.012990863,local fatal,
truck,0.000223567,0.000286037,0.000730107,0.002744194,0.00057905,0,0.003172187,local fatal,
bus,2.03243E-05,0,0,5.03522E-05,0.000201409,0,5.03522E-05,local fatal,
bike,0,0,0,4.06485E-05,0,0,0,arterial fatal,
walk,0,1.60484E-06,0,3.17819E-05,1.27127E-05,0,0,arterial fatal,
motorcycle,0,0,5.03522E-05,0.00045317,0.000276937,0,0.001510565,arterial fatal,
car,8.1297E-05,0.000273324,0.00045317,0.003650533,0.001334333,0,0.005135922,arterial fatal,
truck,2.03243E-05,9.53456E-05,0.00057905,0.002366552,0.000704931,0,0.001208452,arterial fatal,
bus,0,0,0,0.000100704,0,0,0,arterial fatal,
bike,0,0,0,0,0,0,0,highway fatal,
walk,0,0,0,6.99201E-05,3.17819E-05,0,0,highway fatal,
motorcycle,0,0,0,0.000276937,5.03522E-05,0,0.000805635,highway fatal,
car,0,0.000260611,0.000100704,0.003247716,0.000931515,0,0.00624367,highway fatal,
truck,2.03243E-05,6.35637E-05,0.000302113,0.001460213,0.000654578,0,0.00161127,highway fatal,
bus,0,0,0,5.03522E-05,0,0,5.03522E-05,highway fatal,
bike,6.15279E-05,5.1314E-06,0,0.001016213,0.000396323,2.03243E-05,0.000377371,local serious,
walk,0,1.76532E-05,6.35637E-06,0.001080583,0.000254255,0,0,local serious,
motorcycle,0.000101621,8.89892E-05,0.001208452,0.009038216,0.001586094,5.03522E-05,0.018378546,local serious,
car,0.002469397,0.0025934,0.006344375,0.026157958,0.006847897,5.03522E-05,0.040835619,local serious,
truck,0.001016213,0.000495797,0.002643489,0.00901304,0.002819722,0,0.010674662,local serious,
bus,4.06485E-05,0,5.03522E-05,7.55283E-05,0.000528698,0,0,local serious,
bike,0,0,0,8.1297E-05,6.09728E-05,0,9.02409E-05,arterial serious,
walk,0,1.60484E-06,0,0.000146197,4.44946E-05,0,0,arterial serious,
motorcycle,0,0,0.000402817,0.001233628,0.000352465,0,0.005589092,arterial serious,
car,0.000121946,0.000222473,0.001837855,0.009894204,0.003272892,0,0.014199315,arterial serious,
truck,8.1297E-05,3.81382E-05,0.000931515,0.004254759,0.001888207,5.03522E-05,0.004078527,arterial serious,
bus,0,0,0,0,5.03522E-05,0,0,arterial serious,
bike,0,0,0,0,0,0,0,highway serious,
walk,0,0,0,0.000133484,1.90691E-05,0,0,highway serious,
motorcycle,4.06485E-05,1.27127E-05,2.51761E-05,0.001359509,0.000352465,0,0.004229583,highway serious,
car,0.000101621,0.000108058,0.002215496,0.010599134,0.001888207,0,0.017572911,highway serious,
truck,2.03243E-05,3.17819E-05,0.000478346,0.004657577,0.000981868,0,0.003977822,highway serious,
bus,0,0,0,5.03522E-05,0,0,0.000100704,highway serious,
 ,,,,,,,,,
bike,0,0,0,0.042738128,0.005455931,0,0.006215444,local fatal,zcta8
walk,0,0.005479364,0.001079958,0.035638595,0.026998936,0,0,local fatal,
motorcycle,0.001818644,0,0.005321366,0.042570924,0.018092643,0.002128546,0.136226957,local fatal,
car,0.040010162,0.210591696,0.06172784,0.203276163,0.06172784,0,0.549164921,local fatal,
truck,0.020005081,0.048598084,0.03086392,0.116005768,0.024478281,0,0.134098411,local fatal,
bus,0.001818644,0,0,0.002128546,0.008514185,0,0.002128546,local fatal,
bike,0,0,0,0.003637287,0,0,0,arterial fatal,
walk,0,0.001095873,0,0.005399787,0.002159915,0,0,arterial fatal,
motorcycle,0,0,0.002128546,0.019156916,0.011707004,0,0.063856386,arterial fatal,
car,0.007274575,0.046438169,0.019156916,0.1543196,0.056406474,0,0.217111713,arterial fatal,
truck,0.001818644,0.016199361,0.024478281,0.100041672,0.029799647,0,0.051085109,arterial fatal,
bus,0,0,0,0.004257092,0,0,0,arterial fatal,
bike,0,0,0,0,0,0,0,highway fatal,
walk,0,0,0,0.011879532,0.005399787,0,0,highway fatal,
motorcycle,0,0,0,0.011707004,0.002128546,0,0.034056739,highway fatal,
car,0,0.044278254,0.004257092,0.13729123,0.039378105,0,0.26393973,highway fatal,
truck,0.001818644,0.010799574,0.012771277,0.06172784,0.027671101,0,0.068113479,highway fatal,
bus,0,0,0,0.002128546,0,0,0.002128546,highway fatal,
bike,0.011653958,0.001845445,0,0.090932187,0.035463553,0.001818644,0.071477608,local serious,
walk,0,0.012054602,0.001079958,0.183592761,0.043198297,0,0,local serious,
motorcycle,0.009093219,0.015119404,0.051085109,0.382074044,0.067049205,0.002128546,0.776919365,local serious,
car,0.220965213,0.440622627,0.268196822,1.105779754,0.289482284,0.002128546,1.726250974,local serious,
truck,0.090932187,0.084236679,0.111748676,0.381009771,0.119198588,0,0.451251796,local serious,
bus,0.003637287,0,0.002128546,0.003192819,0.022349735,0,0,local serious,
bike,0,0,0,0.007274575,0.005455931,0,0.017092471,arterial serious,
walk,0,0.001095873,0,0.024839021,0.007559702,0,0,arterial serious,
motorcycle,0,0,0.01702837,0.052149382,0.014899824,0,0.236268629,arterial serious,
car,0.010911862,0.03779851,0.077691937,0.41825933,0.138355503,0,0.60025003,arterial serious,
truck,0.007274575,0.006479744,0.039378105,0.179862154,0.079820483,0.002128546,0.172412243,arterial serious,
bus,0,0,0,0,0.002128546,0,0,arterial serious,
bike,0,0,0,0,0,0,0,highway serious,
walk,0,0,0,0.022679106,0.003239872,0,0,highway serious,
motorcycle,0.003637287,0.002159915,0.001064273,0.057470747,0.014899824,0,0.178797881,highway serious,
car,0.009093219,0.018359276,0.093656033,0.448058977,0.079820483,0,0.742862626,highway serious,
truck,0.001818644,0.005399787,0.020221189,0.196890524,0.041506651,0,0.16815515,highway serious,
bus,0,0,0,0.002128546,0,0,0.004257092,highway serious,
 ,,,,,,,,,
bike,0,0,0,0.031730897,0.004050753,0,0.004327703,local fatal,zcta9
walk,0,0.003765084,0.000796532,0.026285546,0.019913293,0,0,local fatal,
motorcycle,0.001350251,0,0.004212806,0.033702451,0.014323542,0.001685123,0.107847845,local fatal,
car,0.029705521,0.155323683,0.048868555,0.160929205,0.048868555,0,0.434761623,local fatal,
truck,0.01485276,0.035843927,0.024434277,0.09183918,0.01937891,0,0.106162722,local fatal,
bus,0.001350251,0,0,0.001685123,0.00674049,0,0.001685123,local fatal,
bike,0,0,0,0.002700502,0,0,0,arterial fatal,
walk,0,0.000753017,0,0.003982659,0.001593063,0,0,arterial fatal,
motorcycle,0,0,0.001685123,0.015166103,0.009268174,0,0.050553677,arterial fatal,
car,0.005401004,0.034250863,0.015166103,0.122171386,0.044655748,0,0.171882502,arterial fatal,
truck,0.001350251,0.011947976,0.01937891,0.079200761,0.023591716,0,0.040442942,arterial fatal,
bus,0,0,0,0.003370245,0,0,0,arterial fatal,
bike,0,0,0,0,0,0,0,highway fatal,
walk,0,0,0,0.008761849,0.003982659,0,0,highway fatal,
motorcycle,0,0,0,0.009268174,0.001685123,0,0.026961961,highway fatal,
car,0,0.0326578,0.003370245,0.108690406,0.031174768,0,0.208955199,highway fatal,
truck,0.001350251,0.007965317,0.010110736,0.048868555,0.021906593,0,0.053923922,highway fatal,
bus,0,0,0,0.001685123,0,0,0.001685123,highway fatal,
bike,0.008114444,0.001276486,0,0.067512548,0.026329893,0.001350251,0.049768588,local serious,
walk,0,0.008283184,0.000796532,0.13541039,0.031861268,0,0,local serious,
motorcycle,0.006751255,0.011151444,0.040442942,0.302479502,0.053081361,0.001685123,0.615069738,local serious,
car,0.16405549,0.324984937,0.212325444,0.875421176,0.22917667,0.001685123,1.366634405,local serious,
truck,0.067512548,0.062129473,0.088468935,0.30163694,0.094366864,0,0.357245985,local serious,
bus,0.002700502,0,0.001685123,0.002527684,0.017693787,0,0,local serious,
bike,0,0,0,0.005401004,0.004050753,0,0.011901184,arterial serious,
walk,0,0.000753017,0,0.018320229,0.005575722,0,0,arterial serious,
motorcycle,0,0,0.013480981,0.041285503,0.011795858,0,0.187048605,arterial serious,
car,0.008101506,0.02787861,0.061506974,0.331126585,0.109532967,0,0.475204565,arterial serious,
truck,0.005401004,0.00477919,0.031174768,0.142392857,0.063192096,0.001685123,0.136494928,arterial serious,
bus,0,0,0,0,0.001685123,0,0,arterial serious,
bike,0,0,0,0,0,0,0,highway serious,
walk,0,0,0,0.016727166,0.002389595,0,0,highway serious,
motorcycle,0.002700502,0.001593063,0.000842561,0.045498309,0.011795858,0,0.141550296,highway serious,
car,0.006751255,0.013541039,0.074145393,0.354718301,0.063192096,0,0.588107777,highway serious,
truck,0.001350251,0.003982659,0.016008664,0.155873838,0.03285989,0,0.133124683,highway serious,
bus,0,0,0,0.001685123,0,0,0.003370245,highway serious,
 ,,,,,,,,,
bike,0,0,0,0.000514805,6.57198E-05,0,2.46831E-05,local fatal,zcta10
walk,0,4.93538E-05,1.95914E-05,0.000646516,0.000489785,0,0,local fatal,
motorcycle,2.19066E-05,0,0.000194424,0.001555393,0.000661042,7.77696E-05,0.004977256,local fatal,
car,0.000481945,0.003820323,0.002255319,0.007427,0.002255319,0,0.020064565,local fatal,
