"","male","female","",""
"ageCat1","0","0","relative.cycle.time",""
"ageCat2","128.285714285714","0","",""
"ageCat3","114.853333333333","1","",""
"ageCat4","55.1739130434783","0","",""
"ageCat5","13.1466666666667","3.53846153846154","",""
"ageCat6","0","0","",""
"ageCat7","0","0","",""
"ageCat8","0","0","",""
"","","","",""
"ageCat1","0","0","relative.walk.speed",""
"ageCat2","0","0","",""
"ageCat3","1.00399321441423","1","",""
"ageCat4","1.00062516574227","1.00217261230958","",""
"ageCat5","0.999161530094271","1.00484539270254","",""
"ageCat6","0","0","",""
"ageCat7","0","0","",""
"ageCat8","0","0","",""
"","","","",""
"ageCat1","0","0","relative.cycle.speed",""
"ageCat2","1000","0","",""
"ageCat3","1000.23218017181","1","",""
"ageCat4","997.635933806147","0","",""
"ageCat5","997.971602434077","1000","",""
"ageCat6","0","0","",""
"ageCat7","0","0","",""
"ageCat8","0","0","",""
"","","","",""
"ageCat1","0.299295826255471","0.373972057141342","relative.walk.time","zcta8"
"ageCat2","1.76605695546168","1.99599843762654","",""
"ageCat3","0.905796407187082","1","",""
"ageCat4","0.696126020588281","0.73689755819048","",""
"ageCat5","0.699769530585793","0.752232037578767","",""
"ageCat6","0.530991750073546","0.660046982201125","",""
"ageCat7","0.579124063857651","0.691115781124831","",""
"ageCat8","0.543982991206307","0.708293345361567","",""
"","","","",""
"ageCat1","0.299328340089589","0.286128656200045","relative.cycle.time",""
"ageCat2","2.22691396717347","1.04671185218332","",""
"ageCat3","2.1097474725077","1","",""
"ageCat4","1.14195202808136","0.823652856725906","",""
"ageCat5","1.09688785380423","0.415270670741515","",""
"ageCat6","0.776632088235372","0.319526484608912","",""
"ageCat7","0.936471516367451","0.331533831817689","",""
"ageCat8","0.800102065076014","0.403543246810377","",""
"","","","",""
"ageCat1","0.999603519874531","0.999587915348676","relative.walk.speed",""
"ageCat2","0.999926261452945","0.999966315200451","",""
"ageCat3","0.999958765589114","1","",""
"ageCat4","0.99994092705985","1.00002431742189","",""
"ageCat5","0.999968333413634","0.999884143141479","",""
"ageCat6","0.999746252511497","0.999958744699293","",""
"ageCat7","0.999779141176433","0.999828395717011","",""
"ageCat8","0.999866322074054","0.999771352897797","",""
"","","","",""
"ageCat1","1.00048243728743","0.999497981900476","relative.cycle.speed",""
"ageCat2","0.999930080055927","1.00012587034388","",""
"ageCat3","1.00004776395845","1","",""
"ageCat4","1.0000059473701","1.00010262442291","",""
"ageCat5","0.999995140433519","1.00008730614802","",""
"ageCat6","1.00014716289308","1.00022780418849","",""
"ageCat7","0.999907193194146","0.999698610573666","",""
"ageCat8","1.00015670068756","1.00030812375666","",""
"","","","",""
"ageCat1","0.44768345461868","0.38363131397338","relative.walk.time","zcta9"
"ageCat2","2.4201672076732","2.42656598578482","",""
"ageCat3","1.03632967611067","1","",""
"ageCat4","0.849282007357124","0.971875202891487","",""
"ageCat5","0.862927647899551","1.0140033085686","",""
"ageCat6","0.633895498853802","1.06180547047096","",""
"ageCat7","0.68933895813029","1.02597240141672","",""
"ageCat8","0.621241011039984","0.958497700377749","",""
"","","","",""
"ageCat1","0.465326700529512","0.16740081743667","relative.cycle.time",""
"ageCat2","2.28300028639163","1.04691694415942","",""
"ageCat3","1.99917864512436","1","",""
"ageCat4","1.57562630429974","0.384514470414912","",""
"ageCat5","1.2928689765614","0.403693903626599","",""
"ageCat6","1.22523235585392","0.246893654445771","",""
"ageCat7","0.768024564662526","0.436803640110762","",""
"ageCat8","0.426039716259949","0.137595148148508","",""
"","","","",""
"ageCat1","0.999791858461556","0.999605820246668","relative.walk.speed",""
"ageCat2","0.999926022264943","0.999809438501662","",""
"ageCat3","0.999812536335129","1","",""
"ageCat4","0.999962010459601","0.999746268542355","",""
"ageCat5","0.999655648348425","0.999968670466952","",""
"ageCat6","1.00019697460958","0.99984092044457","",""
"ageCat7","0.999546110548255","0.999768919385373","",""
"ageCat8","0.999378924492996","0.999735427354809","",""
"","","","",""
"ageCat1","1.0003721922215","1.00030775160785","relative.cycle.speed",""
"ageCat2","1.00010444131486","1.00006434391778","",""
"ageCat3","1.00019180433503","1","",""
"ageCat4","1.00030451124059","1.00013281146241","",""
"ageCat5","1.0002214696056","1.00017269314166","",""
"ageCat6","1.00014041246874","1.00026252196257","",""
"ageCat7","1.0000044477779","1.00016696317187","",""
"ageCat8","1.00057949873863","1.00060081932926","",""
"","","","",""
"ageCat1","0","0","relative.walk.time","zcta10"
"ageCat2","12.9327690776424","13.8997614254827","",""
"ageCat3","3.78687860864667","1","",""
"ageCat4","6.14601565171907","1.76203831045672","",""
"ageCat5","2.3942998277599","8.75794903230973","",""
