,male,female,id
ageCat1,147,140,zcta63
ageCat2,374,365, 
ageCat3,402,282, 
ageCat4,462,537, 
ageCat5,687,758, 
ageCat6,522,572, 
ageCat7,325,328, 
ageCat8,128,151, 
, , , 
ageCat1,64,45,zcta64
ageCat2,173,161, 
ageCat3,240,208, 
ageCat4,232,194, 
ageCat5,536,597, 
ageCat6,324,301, 
ageCat7,130,118, 
ageCat8,44,55, 
, , , 
ageCat1,99,68,zcta65
ageCat2,193,180, 
ageCat3,260,198, 
ageCat4,251,215, 
ageCat5,281,252, 
ageCat6,165,125, 
ageCat7,70,79, 
ageCat8,34,63, 
, , , 
ageCat1,1559,1400,zcta66
ageCat2,2510,2336, 
ageCat3,3484,3684, 
ageCat4,4182,4216, 
ageCat5,3190,3426, 
ageCat6,1275,1391, 
ageCat7,546,674, 
ageCat8,322,542, 
, , , 
ageCat1,185,161,zcta67
ageCat2,353,399, 
ageCat3,492,469, 
ageCat4,455,490, 
ageCat5,502,505, 
ageCat6,174,201, 
ageCat7,113,142, 
ageCat8,50,78, 
, , , 
ageCat1,165,165,zcta68
ageCat2,477,441, 
ageCat3,562,554, 
ageCat4,485,521, 
ageCat5,888,962, 
ageCat6,463,407, 
ageCat7,237,224, 
ageCat8,94,113, 
, , , 
ageCat1,287,266,zcta69
ageCat2,667,623, 
ageCat3,1039,932, 
ageCat4,836,850, 
ageCat5,1121,1089, 
ageCat6,410,403, 
ageCat7,192,206, 
ageCat8,98,137, 
, , , 
ageCat1,1387,1331,zcta70
ageCat2,2594,2527, 
ageCat3,4083,3742, 
ageCat4,3492,3553, 
ageCat5,3831,4134, 
ageCat6,1733,1904, 
ageCat7,845,1128, 
ageCat8,614,1048, 
, , , 
ageCat1,12,13,zcta71
ageCat2,43,37, 
ageCat3,27,53, 
ageCat4,36,45, 
ageCat5,51,50, 
ageCat6,17,14, 
ageCat7,12,5, 
ageCat8,4,6, 
, , , 
ageCat1,7,2,zcta72
ageCat2,14,17, 
ageCat3,11,19, 
ageCat4,23,23, 
ageCat5,34,29, 
ageCat6,14,15, 
ageCat7,8,8, 
ageCat8,9,3, 
, , , 
ageCat1,28,17,zcta73
ageCat2,57,46, 
ageCat3,75,59, 
ageCat4,65,64, 
ageCat5,183,163, 
ageCat6,79,71, 
ageCat7,26,22, 
ageCat8,11,17, 
, , , 
ageCat1,24,21,zcta74
ageCat2,50,51, 
ageCat3,81,71, 
ageCat4,64,48, 
ageCat5,129,122, 
ageCat6,80,65, 
ageCat7,29,28, 
ageCat8,16,18, 
, , , 
ageCat1,118,119,zcta75
ageCat2,286,280, 
ageCat3,370,335, 
ageCat4,339,330, 
ageCat5,604,626, 
ageCat6,348,334, 
ageCat7,229,227, 
ageCat8,100,127, 
, , , 
ageCat1,224,212,zcta76
ageCat2,603,536, 
ageCat3,794,710, 
ageCat4,742,788, 
ageCat5,1307,1329, 
ageCat6,665,633, 
ageCat7,298,308, 
ageCat8,145,201, 
, , , 
ageCat1,6,3,zcta77
ageCat2,15,16, 
ageCat3,28,19, 
ageCat4,21,28, 
ageCat5,64,55, 
ageCat6,44,28, 
ageCat7,18,18, 
ageCat8,13,6, 
, , , 
ageCat1,1,2,zcta78
ageCat2,10,6, 
ageCat3,6,7, 
ageCat4,11,8, 
ageCat5,29,21, 
ageCat6,4,1, 
ageCat7,4,3, 
ageCat8,0,2, 
, , , 
ageCat1,8,5,zcta79
ageCat2,2,9, 
ageCat3,11,13, 
ageCat4,13,12, 
ageCat5,47,31, 
ageCat6,22,22, 
ageCat7,13,9, 
ageCat8,4,10, 
, , , 
ageCat1,3,3,zcta80
ageCat2,8,6, 
ageCat3,6,7, 
ageCat4,12,10, 
ageCat5,27,27, 
ageCat6,15,21, 
ageCat7,5,3, 
ageCat8,1,3, 
, , , 
ageCat1,0,0,zcta81
ageCat2,1,0, 
ageCat3,3,0, 
ageCat4,4,3, 
ageCat5,7,5, 
ageCat6,3,5, 
ageCat7,3,2, 
ageCat8,1,0, 
, , , 
ageCat1,67,77,zcta82
ageCat2,268,228, 
ageCat3,382,296, 
ageCat4,276,303, 
ageCat5,658,730, 
ageCat6,368,354, 
ageCat7,203,185, 
ageCat8,82,108, 
, , , 
ageCat1,0,1,zcta83
ageCat2,0,0, 
ageCat3,15,2, 
ageCat4,3,1, 
ageCat5,3,0, 
ageCat6,1,0, 
ageCat7,0,0, 
ageCat8,0,1, 
, , , 
ageCat1,242,223,zcta84
ageCat2,518,495, 
ageCat3,679,641, 
ageCat4,739,691, 
ageCat5,1173,1266, 
ageCat6,660,612, 
ageCat7,322,296, 
ageCat8,140,145, 
, , , 
ageCat1,12,2,zcta85
ageCat2,14,13, 
ageCat3,35,21, 
ageCat4,50,32, 
ageCat5,69,46, 
ageCat6,34,30, 
ageCat7,14,10, 
ageCat8,3,1, 
, , , 
ageCat1,2,3,zcta86
ageCat2,3,0, 
ageCat3,1,1, 
ageCat4,7,7, 
ageCat5,14,7, 
ageCat6,9,7, 
ageCat7,2,2, 
ageCat8,2,1, 
, , , 
ageCat1,7,1,zcta87
ageCat2,12,5, 
ageCat3,51,45, 
ageCat4,23,17, 
ageCat5,26,29, 
ageCat6,4,7, 
ageCat7,4,5, 
ageCat8,2,2, 
, , , 
ageCat1,508,447,zcta88
ageCat2,588,545, 
ageCat3,707,804, 
ageCat4,1235,1144, 
ageCat5,583,580, 
ageCat6,190,214, 
ageCat7,68,69, 
ageCat8,24,43, 
, , , 
ageCat1,385,404,zcta89
ageCat2,1809,1687, 
ageCat3,1774,1550, 
ageCat4,1310,1663, 
ageCat5,3167,3300, 
ageCat6,1291,1242, 
ageCat7,600,570, 
ageCat8,289,419, 
, , , 
ageCat1,1847,1819,zcta90
ageCat2,4296,4203, 
ageCat3,4119,4250, 
ageCat4,5434,5962, 
ageCat5,4747,5069, 
ageCat6,1779,2373, 
ageCat7,1532,2088, 
ageCat8,1011,1341, 
, , , 
ageCat1,1785,1730,zcta91
ageCat2,3821,3574, 
ageCat3,4213,3636, 
ageCat4,5277,5405, 
ageCat5,3533,3380, 
ageCat6,995,1239, 
ageCat7,484,657, 
ageCat8,184,309, 
, , , 
ageCat1,2189,2079,zcta92
ageCat2,5074,4871, 
ageCat3,6268,6363, 
ageCat4,5904,6981, 
ageCat5,6239,6992, 
