,,Age std changes of death from PA,,,,,,,Age std changes of deaths from TI,,,,,,,Age std changes of DALYs from PA,,,,,,,Age std changes of DALYs from TI,,,,,
ID,zcta,2020,2027,2036,S1,S2,S3,,2020,2027,2036,S1,S2,S3,,2020,2027,2036,S1,S2,S3,,2020,2027,2036,S1,S2,S3
zcta34,95640,-0.52504337,-0.174697684,0,-1.016529138,-2.145589377,-6.040868378,,-2.209009832,-0.474872566,2.385445509,0.867021933,1.76771467,-1.029408021,,-7.792596157,-4.123541474,0,-11.68227813,-11.68609255,-33.18352733,,-113.1240647,-24.3145853,122.1043372,44.38769972,90.49060582,-52.71080763
zcta35,95641,1.375224278,-4.052777333,0.117405552,-5.527123954,-0.306760962,-0.113573558,,-4.577705765,0.611369334,0.149283957,0.283265777,0.617459837,0.159853986,,0.456154092,-0.747888666,-0.126829189,-1.647702258,-0.439799447,-0.018140834,,-234.6607827,31.40620854,8.58690019,15.13319198,32.16897965,8.672066098
zcta36,95645,-0.38233213,3.979628982,3.661700432,-13.13016306,-8.712837909,0.084891587,,-1.833883748,0.550222235,-0.032766322,0.174693745,0.125315152,0.479690485,,0.09147144,0.797514232,0.308731937,-1.006500746,-0.71732111,-1.302463843,,-92.68708631,29.19303395,-0.323446792,10.13466912,7.357046095,26.18817114
zcta37,95648,0.040347651,0.620345858,-0.054804556,1.032988679,-0.044110629,0.684598231,,-0.761610554,0.998666661,0.704285032,0.697275467,1.101402198,0.878330655,,2.709015152,2.541613915,-1.288426779,9.099107451,-3.465051597,5.52314905,,-39.13836737,51.24877614,36.08856542,35.50616246,56.461386,44.88073387
zcta38,95650,-1.082123337,-0.656600933,-5.31442265,-0.717091325,-0.217298738,-0.907878514,,-0.360786875,0.431829596,0.199159406,0.223447409,0.546218442,0.451424449,,-2.926741372,-1.557406693,-6.718160657,-1.81118304,-0.834296264,-3.895179118,,-18.4561445,22.46301098,10.48835604,11.75763158,28.05933093,23.7156702
zcta39,95651,1.548737623,1.386953201,1.636747466,-0.416417284,1.665916757,-36.68382649,,-2.468640343,0.353614955,-0.494907765,0.571084328,-0.400898673,-0.307978094,,0.04365008,0.0439452,0.105850782,-0.224217911,0.086525016,-1.68891798,,-126.523667,18.05719832,-25.41846257,29.92061214,-20.56553477,-14.64627632
zcta40,95652,11.42460184,-13.84122454,-22.03419031,10.04491271,-14.57600715,-0.034311723,,-0.264091358,-0.475665127,0.018526224,-0.571243278,-0.627514361,-0.035218178,,0.232949834,-0.258076669,-0.393402344,0.257009541,-0.389079891,0.013987423,,-14.06690129,-23.26000251,1.632422676,-30.50435762,-30.35591091,-0.713280116
zcta41,95653,-0.726625769,-32.05114066,-0.28157769,0.834146206,-38.54194448,-118.5992147,,-1.157842328,2.977787811,2.376550434,-1.965749711,-0.813661277,3.816273968,,0.397183993,-2.361336662,-0.487114048,0.305778595,-0.977721364,-4.079441237,,-61.78346665,154.0531217,120.9396232,-98.12545978,-36.29211509,197.2674008
zcta42,95655,-0.248988411,-6.476754693,-3.152325504,-3.195936204,-2.306825817,-1.839044,,-0.389970611,0.101098284,0.202259829,0.29837192,0.088247217,-0.165719406,,-0.307660665,-1.341088155,-0.775065634,-0.865502475,-0.897034419,-0.581693188,,-20.50908604,4.64839879,9.930466662,14.77730461,4.263226968,-9.596149137
zcta43,95658,-0.453024919,-0.24994833,-0.47568651,-1.300547844,-0.380878141,-0.279272372,,-0.987123508,0.119963288,-0.051536989,-0.167287899,-0.170153391,0.025943971,,-0.76760539,-0.546950616,-0.623569161,-1.447598364,-0.541285644,-0.341695313,,-50.6921106,6.017881164,-2.728227572,-8.632990914,-8.740518411,1.268384072
zcta44,95659,-0.017336482,4.525153648,2.385921778,2.545183934,-1.275396232,1.109922714,,0.304963961,3.863155242,0.991452735,3.897891565,3.912445738,1.169602543,,-0.053432091,0.203330355,-0.178465073,-0.245969331,-0.36067939,-0.316216959,,15.85905265,199.1375565,52.04267208,200.699863,201.5764925,60.06460979
zcta45,95660,-0.173248756,0.498190036,0.408603623,1.02605447,-0.653172771,-0.104770588,,-0.750384959,-0.266050799,-0.344791982,-0.536948154,-0.272348886,0.066923275,,-0.685214538,0.037056274,-1.022583019,2.66227974,-4.037972501,-0.589459113,,-38.5594261,-13.43254662,-17.60617667,-27.69758015,-13.96234067,3.491081732
zcta46,95661,1.368145167,1.280642995,1.116592065,1.856308421,0.41260384,0.592743442,,-0.309999163,0.378240067,0.325288431,-0.101777282,0.117365628,0.2854934,,3.338041702,0.667123602,0.781423588,3.271541659,-2.956551734,-2.24302316,,-15.99547667,19.62823394,16.88101485,-5.090699467,6.135550069,14.87688551
zcta47,95662,-0.460382216,-0.839047357,-0.90151579,-0.126596309,-5.287154042,-1.320758351,,-0.050959624,0.068493003,0.206504052,0.201340369,0.196539231,0.151054984,,-3.80833581,-4.323553952,-7.528043534,-0.594698003,-16.62050515,-6.997703455,,-2.682824027,3.68316755,10.6939413,10.26002511,10.04543377,7.815871515
zcta48,95663,-4.919686109,-13.19688241,-12.27992495,-0.611166541,-5.813659456,-1.036586065,,-0.738880583,0.388904417,-0.001368312,0.454262898,0.525367685,0.252047972,,-0.708152433,-2.5418103,-2.749646663,-0.001167829,-1.29091056,-0.311712707,,-37.9976712,20.45090008,0.013625248,23.12490575,27.33457291,13.18168729
zcta49,95664,-0.305209124,-0.368674688,-0.222253135,-0.207763297,-4.598164747,-0.619770441,,-0.718890982,0.681864812,0.757988342,0.693842491,0.725437539,0.490792743,,-0.139672363,-0.195964719,-0.168041955,-0.027925236,-0.328652332,-0.211276739,,-36.5856624,35.02823605,39.34763295,35.3689688,37.81500805,25.53921888
zcta50,95667,-0.152951667,-5.894825022,-0.12977824,-1.609702722,-0.503674079,0.453634382,,-2.712364899,0.064600893,-0.062919271,-0.279073386,0.044738653,0.201036153,,-0.319360301,-30.53089572,-3.375787457,-12.69377417,-3.302503806,2.774278768,,-139.3328366,3.424301054,-3.160119477,-14.14579132,2.341432753,10.27684131
zcta51,95668,-0.278675378,-0.391092139,-5.707698383,-0.113243205,-0.55403918,-0.250745591,,-0.650154389,1.218222925,-0.181538809,0.915194184,0.845700332,0.482945467,,-0.063781695,-0.067152253,-0.431703415,-0.00910845,-0.078770139,-0.011361894,,-33.07549376,62.93397968,-9.414064011,47.51434814,43.42925817,24.96064147
zcta52,95669,-13.96094874,-0.868021853,-2.079149147,-0.977267913,0.359477411,-0.963855159,,-1.819569399,-0.564354834,-1.817346209,0.342235818,-0.78849169,0.760555366,,-13.70523202,-1.502265827,-3.138539226,-1.041248561,0.902716495,-1.104362692,,-92.8899021,-28.67489217,-92.34879267,16.53561568,-42.01160586,38.26889831
zcta53,95670,-0.899870831,-0.785481995,-2.331354246,-0.836857386,-1.630589064,-1.257941047,,-0.018672122,0.682930276,0.613312772,0.740494966,0.728420404,0.539068728,,-10.4596792,-13.94641012,-25.40209114,-14.52785237,-22.99731606,-15.87250732,,-0.672762965,35.7564422,32.06359518,38.54865901,38.10896119,28.19097957
zcta54,95672,-1.012358529,-1.105912657,-0.937613075,-1.046248167,-0.547312646,-1.138141538,,-0.749662928,0.448661198,0.229926303,0.293591701,0.461296373,0.318255207,,-0.727313813,-1.115985839,-0.878511798,-0.591790138,-0.723190888,-1.294900822,,-38.51609136,23.03885599,12.27819061,15.00364581,23.79564478,16.45352096
