"","walk","cycle",""
"zcta79","1.40761403508772","2.42715789473684",""
"zcta80","3.44262295081967","0",""
"zcta81","0","0",""
"zcta82","12.2736262605474","1.17235233587158",""
"zcta83","15.4233333333333","0",""
"zcta84","10.7715159972092","1.39186484600817",""
"zcta85","0.399335793357934","0",""
"zcta86","2.50352941176471","0",""
"zcta87","10.9448888888889","0",""
"zcta88","25.7221177751848","2.47885165305329",""
"zcta89","15.6396093585033","2.21894590143165",""
"zcta90","23.5894014604271","2.61902119974874",""
"zcta91","36.5055687546927","2.76951718867317",""
"zcta92","40.0368235466608","3.57224147789751",""
"zcta93","20.7370680524889","2.44074784138439",""
"zcta94","24.1993016387988","2.60062286831378",""
"zcta95","43.3408050019539","15.5831232151982",""
"zcta96","159.419801502516","27.6262798952374",""
"zcta97","189.905604017379","38.6136754499802",""
"zcta98","55.9761048032149","7.23941857498246",""
"zcta99","154.088835559497","18.5640442276783",""
"zcta100","89.9916566383257","8.60339372138653",""
"zcta101","108.294307152226","10.8022351670396",""
"zcta102","63.2715015880976","7.85658726178536",""
"zcta103","57.5145680230388","6.35032451602581",""
"zcta104","38.7479610814098","4.79467985912281",""
"zcta105","45.0207023659729","5.28733843519875",""
"zcta106","43.1642413288579","4.60191668818315",""
"zcta107","44.1910169544156","5.82947366786735",""
"zcta108","48.9391493022367","7.30959090040145",""
"zcta109","40.3581922035533","5.59558275533796",""
"zcta110","39.7197027027027","4.91199148463532",""
"zcta111","35.405362931076","3.72794272130042",""
"zcta112","23.5532136766357","2.90704255230648",""
"zcta113","13.027428057554","2.8442535971223",""
"zcta114","36.6934049223378","3.86588013761375",""
"zcta115","32.4990607210626","4.43828425047438",""
"zcta116","47.987956741273","7.08629776180997",""
"zcta117","44.791013602183","5.92093236403025",""
"zcta118","46.9614183651653","3.83232415193843",""
"zcta119","19.0551256281407","2.10650753768844",""
"zcta120","42.1081052107947","4.8727312523318",""
"zcta121","42.9965147123408","4.27133113746157",""
"zcta122","36.4649249026516","3.47809877001051",""
"zcta123","31.5063168440096","2.7471694516311",""
"zcta124","32.1224763810159","4.24887629209737",""
"zcta125","38.0428037848606","3.1768473831945",""
"zcta126","13.8352540540541","2.43978378378378",""
"zcta127","2.10426395939086","0",""
"zcta128","8.73685167764189","2.04804327375353",""
"zcta129","5.38412854030501","1.42470588235294",""
"zcta130","1.2168119266055","0.280802752293578",""
"zcta131","2.62225609756098","0.806341463414634",""
"zcta132","0","0",""
"zcta133","3.34547169811321","0.483862375138735",""
"zcta134","6.95461028192372","0.653739635157546",""
"zcta135","4.36483018867925","0",""
"zcta136","32.9212204724409","1.37574803149606",""
"zcta137","33.5056186121571","1.39917630446477",""
"zcta138","9.5013437849944","2.2889921612542",""
"zcta139","3.97913793103448","2.81448275862069",""
"zcta140","24.4791627617296","2.73397146924491",""
"zcta141","5.1422129086337","1.06196982397318",""
"zcta142","5.41103286384977","3.07014084507042",""
"zcta143","5.98491954022988","0.653333333333333",""
"zcta144","1.59758490566038","1.848",""
"zcta145","21.4413262316911","2.42556058588549",""
"zcta146","46.0689925507901","4.30545665914221",""
"zcta147","34.283767864629","3.67014463203628",""
"zcta148","2.396","0",""
"zcta149","3.33042253521127","0",""
"zcta150","5.43313953488372","0",""
"zcta151","3.06782514674081","0.533055298115539",""
