,,Absulte changes of death from PA,,,,,,,Absulte changes of deaths from TI,,,,,,,Absulte changes of DALYs from PA,,,,,,,Absulte changes of DALYs from TI,,,,,
ID,zcta,2020,2027,2036,S1,S2,S3,,2020,2027,2036,S1,S2,S3,,2020,2027,2036,S1,S2,S3,,2020,2027,2036,S1,S2,S3
zcta48,95663,-0.126803544,-0.33524618,-0.330507983,-0.0207813,-0.144395644,-0.035206694,,-0.018114633,0.009534505,-3.3546E-05,0.011136855,0.012880083,0.006179289,,-0.708152433,-2.5418103,-2.749646663,-0.001167829,-1.29091056,-0.311712707,,-0.836139252,0.451496713,0.000574345,0.508092452,0.602533772,0.290781824
zcta49,95664,-0.005789567,-0.00609631,-0.004113298,-0.003121026,-0.040532617,-0.009473812,,-0.010241219,0.009713749,0.010798194,0.009884381,0.01033448,0.006991764,,-0.139672363,-0.195964719,-0.168041955,-0.027925236,-0.328652332,-0.211276739,,-0.47521957,0.455696136,0.512764,0.459541127,0.493124188,0.332948845
zcta50,95667,-0.097963345,-3.504312276,-0.072357452,-0.929436546,-0.297493127,0.240564017,,-1.061104582,0.025272523,-0.024614655,-0.109176331,0.017502213,0.078647377,,-0.319360301,-30.53089572,-3.375787457,-12.69377417,-3.302503806,2.774278768,,-47.87227282,1.181100775,-1.082648158,-4.852026148,0.806342905,3.528765629
zcta51,95668,-0.002587671,-0.003196737,-0.037437501,-0.001045994,-0.006037001,-0.002397151,,-0.005435569,0.010184866,-0.001517742,0.007651416,0.007070417,0.004037631,,-0.063781695,-0.067152253,-0.431703415,-0.00910845,-0.078770139,-0.011361894,,-0.262579415,0.500263793,-0.074856234,0.377848176,0.345048278,0.198420341
zcta52,95669,-0.519971667,-0.030963694,-0.060340437,-0.040870467,0.006019268,-0.031690616,,-0.047050657,-0.014593159,-0.046993169,0.008849577,-0.020388918,0.019666537,,-13.70523202,-1.502265827,-3.138539226,-1.041248561,0.902716495,-1.104362692,,-2.056787642,-0.63444509,-2.043292511,0.362822685,-0.936455708,0.845383237
zcta53,95670,-0.446755988,-0.410458044,-1.163620807,-0.436784083,-0.837023782,-0.620230083,,-0.009749834,0.356598849,0.320247376,0.386656826,0.380351973,0.281480108,,-10.4596792,-13.94641012,-25.40209114,-14.52785237,-22.99731606,-15.87250732,,-0.357053995,18.86136468,16.91374561,20.33582815,20.10251647,14.87085385
zcta54,95672,-0.044491575,-0.054299542,-0.044480723,-0.045177419,-0.028402586,-0.054357427,,-0.035070926,0.020989385,0.010756472,0.013734883,0.021580487,0.014888698,,-0.727313813,-1.115985839,-0.878511798,-0.591790138,-0.723190888,-1.294900822,,-1.726263966,1.032523696,0.552606643,0.672053625,1.066976255,0.737942319
zcta55,95673,-0.559538018,-0.98531269,-0.678558923,-0.409596907,-0.938515516,-0.458632103,,-0.054140755,0.029572072,0.029801984,-0.016706483,0.020764745,0.021025675,,-4.520708594,-8.761370656,-6.751317387,-5.223526833,-8.873171632,-3.7930025,,-2.931292053,1.533585402,1.57168614,-0.863970956,1.116786041,1.058284673
zcta56,95674,-0.001669852,0.000568329,-0.001406446,-0.010992105,-0.01478803,-0.02559183,,-0.020678401,0.006031094,0.001106336,-0.004512554,0.00414345,-0.000372528,,-0.025710752,0.048927855,-0.029910298,-0.260800836,-0.110926629,-0.291511036,,-1.009404674,0.283255811,0.048056889,-0.230194997,0.192343656,-0.025873791
zcta57,95677,-0.313551034,-1.580707917,-0.38914557,-0.206553663,-0.282967963,-1.73460699,,-0.100973178,0.090509563,0.090373478,0.052468596,0.102378602,0.115862119,,-2.579259788,-14.05472299,-6.396516851,-2.456798529,-3.579512073,-17.91952808,,-5.167403412,4.69123193,4.572826301,2.623508817,5.198600431,5.937443989
